PERMNO,date,TICKER,PERMCO,PRC,VOL,RET
10107,2010/1/4,MSFT,8048,30.95,38564668,0.01542
10107,2010/1/5,MSFT,8048,30.96,49900508,0.000323
10107,2010/1/6,MSFT,8048,30.77,58338993,-0.006137
10107,2010/1/7,MSFT,8048,30.452,50712549,-0.010335
10107,2010/1/8,MSFT,8048,30.66,51358330,0.00683
10107,2010/1/11,MSFT,8048,30.27,68900092,-0.01272
10107,2010/1/12,MSFT,8048,30.07,66084958,-0.006607
10107,2010/1/13,MSFT,8048,30.35,51978474,0.009312
10107,2010/1/14,MSFT,8048,30.96,63381444,0.020099
10107,2010/1/15,MSFT,8048,30.86,80089852,-0.00323
10107,2010/1/19,MSFT,8048,31.1,46724866,0.007777
10107,2010/1/20,MSFT,8048,30.585,55000779,-0.01656
10107,2010/1/21,MSFT,8048,30.01,73321633,-0.0188
10107,2010/1/22,MSFT,8048,28.96,102291200,-0.034988
10107,2010/1/25,MSFT,8048,29.32,63569452,0.012431
10107,2010/1/26,MSFT,8048,29.5,66784662,0.006139
10107,2010/1/27,MSFT,8048,29.67,64960437,0.005763
10107,2010/1/28,MSFT,8048,29.16,117798168,-0.017189
10107,2010/1/29,MSFT,8048,28.18,194295037,-0.033608
10107,2010/2/1,MSFT,8048,28.41,86260465,0.008162
10107,2010/2/2,MSFT,8048,28.46,54597037,0.00176
10107,2010/2/3,MSFT,8048,28.63,61544822,0.005973
10107,2010/2/4,MSFT,8048,27.84,78083402,-0.027593
10107,2010/2/5,MSFT,8048,28.02,81206226,0.006466
10107,2010/2/8,MSFT,8048,27.72,52957820,-0.010707
10107,2010/2/9,MSFT,8048,28.01,59371179,0.010462
10107,2010/2/10,MSFT,8048,27.99,48722883,-0.000714
10107,2010/2/11,MSFT,8048,28.12,66174124,0.004645
10107,2010/2/12,MSFT,8048,27.93,81296995,-0.006757
10107,2010/2/16,MSFT,8048,28.35,52159884,0.019692
10107,2010/2/17,MSFT,8048,28.59,46028779,0.008466
10107,2010/2/18,MSFT,8048,28.969,42968004,0.013256
10107,2010/2/19,MSFT,8048,28.77,44560085,-0.006869
10107,2010/2/22,MSFT,8048,28.73,36853481,-0.00139
10107,2010/2/23,MSFT,8048,28.33,52418529,-0.013923
